地域階層,地域コード,地域,District,項番 Item number,警察署,Police station,総数 Total,凶悪犯 Felonious offenses／殺人 Homicide,凶悪犯 Felonious offenses／侵入強盗 Breaking & entering/Robbery／殺人 Homicide,凶悪犯 Felonious offenses／侵入強盗 Breaking & entering/Robbery／傷人 Bodily injury,凶悪犯 Felonious offenses／侵入強盗 Breaking & entering/Robbery／強制性交等 Forced sexual intercourse， etc. 3),凶悪犯 Felonious offenses／侵入強盗 Breaking & entering/Robbery／普通 Others,凶悪犯 Felonious offenses／非侵入強盗 Robbery without breaking and entering／殺人 Homicide,凶悪犯 Felonious offenses／非侵入強盗 Robbery without breaking and entering／傷人 Bodily injury,凶悪犯 Felonious offenses／非侵入強盗 Robbery without breaking and entering／強制性交等 Forced sexual intercourse， etc. 3),凶悪犯 Felonious offenses／非侵入強盗 Robbery without breaking and entering／普通 Others,凶悪犯 Felonious offenses／放火 Arson,凶悪犯 Felonious offenses／強制性交等 Forced sexual intercourse， etc. 3),粗暴犯 Violent offenses／凶器準備集合 Unlawful assembly with dangerous weapons,粗暴犯 Violent offenses／暴行 Violence,粗暴犯 Violent offenses／傷害 Bodily injury,粗暴犯 Violent offenses／傷害致死 Bodily injury resulting in death,粗暴犯 Violent offenses／脅迫 Intimidation,粗暴犯 Violent offenses／恐喝 Extortion,窃盗犯 Larcenous offenses／侵入窃盗 Breaking & entering/theft,窃盗犯 Larcenous offenses／非侵入窃盗 Theft without breaking and entering,知能犯 Intellectual offenses／詐欺 Fraud,知能犯 Intellectual offenses／横領 Embezzlement,知能犯 Intellectual offenses／偽造 Counterfeiting,知能犯 Intellectual offenses／汚職 Corruption,知能犯 Intellectual offenses／背任 Breach of trust,風俗犯 Moral offenses／賭博 Gambling,風俗犯 Moral offenses／わいせつ Indecency,その他 Others／占有離脱物横領 Embezzlement of lost properties,その他 Others／公務執行妨害 Obstructing the execution of official duties,その他 Others／住居侵入 Trespassing,その他 Others／盗品等 Stolen properties， etc.,その他 Others／器物損壊等 Damage or destruction of structure， etc.,その他 Others／その他 Others
2,13115,杉並区,Suginami-ku,53,荻窪署,Ogikubo P. Sta.,532,1,-,-,-,-,-,1,-,-,-,2,-,15,18,-,3,2,13,320,66,3,2,-,-,-,6,17,2,13,-,45,3
2,13116,豊島区,Toshima-ku,54,巣鴨署,Sugamo P. Sta.,677,-,-,-,-,1,-,2,-,1,1,-,-,68,33,-,8,2,22,378,43,5,3,-,-,-,4,14,6,5,2,67,12
2,13116,豊島区,Toshima-ku,55,池袋署,Ikebukuro P. Sta.,1692,-,-,1,-,2,-,5,-,6,-,12,-,89,74,-,5,8,32,1171,86,-,7,-,-,1,17,36,9,11,4,84,32
2,13116,豊島区,Toshima-ku,56,目白署,Mejiro P. Sta. ,839,1,-,-,-,-,-,2,-,1,1,3,-,30,12,-,1,1,12,580,73,2,8,-,-,-,7,16,2,8,1,74,4
2,13117,北区,Kita-ku,57,滝野川署,Takinogawa P. Sta.,431,2,-,-,-,1,-,-,-,-,-,1,-,38,14,-,13,1,12,229,50,2,2,-,-,-,3,7,1,10,-,40,5
2,13117,北区,Kita-ku,58,王子署,Oji P. Sta.,812,4,-,1,-,1,1,1,-,1,2,1,-,52,25,-,12,8,39,411,128,-,6,-,-,-,13,21,6,11,1,62,5
2,13117,北区,Kita-ku,59,赤羽署,Akabane P. Sta.　,789,3,-,-,-,1,-,-,-,1,-,3,-,40,20,-,2,3,16,505,72,3,3,-,-,-,10,21,1,5,2,73,5
2,13118,荒川区,Arakawa-ku,60,尾久署,Ogu P. Sta.,279,-,-,1,-,-,-,-,-,-,-,1,-,14,6,-,3,1,8,172,20,1,3,-,-,-,1,8,-,1,-,38,1
2,13118,荒川区,Arakawa-ku,61,南千住署,Minamisenju P. Sta.,219,-,-,-,-,-,-,-,-,-,-,-,-,9,5,-,5,-,2,153,14,1,-,-,-,-,4,4,1,-,-,19,2
2,13118,荒川区,Arakawa-ku,62,荒川署,Arakawa P. Sta.,600,1,-,1,-,1,-,2,-,2,-,-,-,39,12,-,-,2,25,386,38,5,3,-,-,-,5,14,1,3,1,57,2
2,13119,板橋区,Itabashi-ku,63,板橋署,Itabashi P. Sta.,1068,1,-,-,-,-,-,2,-,3,3,4,-,29,19,3,6,1,40,695,81,2,2,-,-,-,20,32,4,11,-,100,10
2,13119,板橋区,Itabashi-ku,64,志村署,Shimura P. Sta.,704,-,-,-,-,2,-,1,-,-,-,1,-,20,30,-,5,1,19,406,75,1,-,-,-,-,10,26,2,8,1,89,7
2,13119,板橋区,Itabashi-ku,65,高島平署,Takashimadaira P. Sta.,803,-,-,-,-,1,-,-,-,1,1,1,-,23,18,-,3,1,26,503,64,1,6,-,-,-,12,22,3,3,-,111,3
2,13120,練馬区,Nerima-ku,66,練馬署,Nerima P. Sta.,908,2,-,-,-,1,-,-,-,1,1,2,-,24,20,-,3,4,20,619,65,-,1,-,1,-,6,23,1,12,1,89,12
2,13120,練馬区,Nerima-ku,67,光が丘署,Hikarigaoka P. Sta.,860,-,-,-,-,-,-,1,-,-,-,-,-,29,12,-,9,2,22,633,38,3,3,-,-,-,6,11,4,6,-,81,-
2,13120,練馬区,Nerima-ku,68,石神井署,Shakujii P. Sta. ,1060,3,-,-,-,-,-,1,-,3,-,2,-,27,21,-,3,-,22,718,60,-,3,-,-,-,9,31,3,7,1,139,7
2,13121,足立区,Adachi-ku,69,千住署,Senju P. Sta.,482,1,-,-,-,-,-,1,-,-,-,-,-,41,8,-,2,1,15,284,34,-,1,-,-,-,5,10,4,8,-,61,6
2,13121,足立区,Adachi-ku,70,西新井署,Nishiarai P. Sta.,1173,-,-,-,-,-,-,3,-,1,3,3,-,42,29,-,13,1,34,759,59,3,3,-,-,-,13,35,9,15,1,137,10
2,13121,足立区,Adachi-ku,71,竹の塚署,Takenozuka P. Sta.,659,2,-,1,-,-,-,1,-,-,1,1,-,28,45,-,5,2,21,407,34,-,2,-,-,-,7,15,7,6,1,67,6
2,13121,足立区,Adachi-ku,72,綾瀬署,Ayase P. Sta.,901,-,-,-,-,-,-,-,-,1,-,2,-,25,30,-,10,1,45,612,45,-,3,-,1,-,6,18,9,3,-,85,5
2,13122,葛飾区,Katsushika-ku,73,亀有署,Kameari P. Sta.,1291,1,-,-,-,1,-,2,-,-,1,2,-,61,54,-,11,5,35,764,128,6,1,-,-,-,10,45,6,10,1,135,12
2,13122,葛飾区,Katsushika-ku,74,葛飾署,Katsushika P. Sta.,1011,4,-,-,-,2,-,1,-,1,1,2,-,64,30,-,4,2,18,600,71,-,1,-,-,1,12,26,7,10,1,140,13
2,13123,江戸川区,Edogawa-ku,75,小松川署,Komatsugawa P. Sta.,1229,1,-,-,1,-,-,1,-,2,-,1,-,29,33,-,5,-,30,825,78,1,6,-,-,-,20,28,8,9,1,145,5
2,13123,江戸川区,Edogawa-ku,76,葛西署,Kasai P. Sta.　,1352,2,-,-,-,1,-,1,-,1,-,1,-,58,36,-,2,8,29,884,101,2,6,-,-,-,17,43,3,8,1,138,10
2,13123,江戸川区,Edogawa-ku,77,小岩署,Koiwa P. Sta.　,792,-,-,-,-,-,-,-,-,1,3,5,-,16,23,-,6,2,33,506,52,2,1,-,-,-,12,26,4,1,-,99,-
1,,市，郡部,All shi and gun,,,,17842,23,-,3,1,10,1,15,-,18,16,52,-,635,462,1,98,23,632,11454,1175,21,45,-,3,-,191,380,86,159,14,2210,114
2,13205,青梅市,Ome-shi,1,青梅署,Ome P. Sta.,560,1,-,-,-,1,-,1,-,2,-,2,-,25,17,1,3,1,30,351,23,1,2,-,1,-,8,12,1,4,-,67,6
